sede_id,sede,pais,redes_sociales,iso_3,region_geografica
EMARR,Embajada  en  Marruecos,REINO  DE  MARRUECOS,https://www.instagram.com/marruecos.embajada/  //  https://twitter.com/ArgMarruecos  //  ,MAR,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
EMEXI,Embajada  en  México,ESTADOS  UNIDOS  MEXICANOS,https://twitter.com/@ARGenMexico  //  https://www.facebook.com/ARGenMexico/  //  https://www.instagram.com/embargenmexico/  //  https://www.youtube.com/user/EmbaArgenMX  //  ,MEX,AMÉRICA  DEL  NORTE
EMFAO,Misión  Permanente  ante  la  Organización  de  las  Naciones  Unidas  para  la  Alimentación  y  la  Agricultura,REPÚBLICA  ITALIANA,@ArgenFao  //  ,ITA,EUROPA  OCCIDENTAL
EMOZA,Embajada  en  Mozambique,REPÚBLICA  DE  MOZAMBIQUE,https://www.facebook.com/ArgentinaEnMozambique/  //  argenmozambique  //  ,MOZ,ÁFRICA  SUBSAHARIANA
EMSIA,Embajada  en  Malasia,MALASIA,https://www.facebook.com/ArgentinaEnMalasia  //  ,MYS,ASIA
EMSUR,Representación  Permanente  para  MERCOSUR  y  ALADI,REPÚBLICA  ORIENTAL  DEL  URUGUAY,,URY,AMÉRICA  DEL  SUR
ENAUN,Representación  Permanente  ante  las  Naciones  Unidas,Estados  Unidos  de  América,,USA,AMÉRICA  DEL  NORTE
ENICA,Embajada  en  Nicaragua,REPÚBLICA  DE  NICARAGUA,@ArgentinaEnNicaragua  //  @argennicaragua  //  ,NIC,AMÉRICA  CENTRAL  Y  CARIBE
ENIGE,Embajada  en  Nigeria,REPÚBLICA  FEDERAL  DE  NIGERIA,https://www.facebook.com/ArgentinaEnNigeria/  //  https://www.instagram.com/embargennigeria/?igshid=f0laoeu8lhv8  //  ,NGA,ÁFRICA  SUBSAHARIANA
ENORU,Embajada  en  Noruega,REINO  DE  NORUEGA,https://www.facebook.com/ArgentinaEnNoruega/  //  https://www.instagram.com/ARGenNoruega/  //  ,NOR,EUROPA  OCCIDENTAL
ENZEL,Embajada  en  Nueva  Zelandia,NUEVA  ZELANDIA,,NZL,OCEANÍA
EOIRS,Misión  Permanente  ante  los  Organismos  Internacionales  en  Ginebra,Confederación  Suiza,https://www.facebook.com/ArgentinaEnGinebra  //  www.instagram.com/misionargentinaonu  //  https://twitter.com/ArgentinaONUOMC    //  https://www.youtube.com/channel/UCSOsChik8j7nFJZnPq6K7Ag  //  ,CHE,EUROPA  OCCIDENTAL
EPAKI,Embajada  en  Pakistán,REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,https://twitter.com/EmbajadadeArge1  //  ,PAK,ASIA
EPARA,Embajada  en  Paraguay,REPÚBLICA  DEL  PARAGUAY,https://twitter.com/argenparaguay_  //  https://www.facebook.com/embajada.paraguay  //  ,PRY,AMÉRICA  DEL  SUR
EPBAJ,Embajada  en  Holanda,REINO  DE  LOS  PAÍSES  BAJOS,https://www.facebook.com/ArgEnPaisesBajos/  //  https://twitter.com/ArgentinaEnPB  //  ,NLD,EUROPA  OCCIDENTAL
EPERU,Embajada  en  Perú,REPÚBLICA  DEL  PERÚ,https://twitter.com/Emb_Arg_Peru  //  https://www.facebook.com/ArgentinaEnPeru  //  ,PER,AMÉRICA  DEL  SUR
EPNMA,Embajada  en  Panamá,REPÚBLICA  DE  PANAMÁ,@ArgentinaEnPanama  //  ,PAN,AMÉRICA  CENTRAL  Y  CARIBE
EPOLO,Embajada  en  Polonia,REPÚBLICA  DE  POLONIA,https://www.facebook.com/Embajada-de-la-Rep%C3%BAblica-Argentina-en-Polonia-1726942037398853/  //  ,POL,EUROPA  CENTRAL  Y  ORIENTAL
EPORT,Embajada  en  Portugal,REPÚBLICA  PORTUGUESA,,PRT,EUROPA  OCCIDENTAL
EQATR,Embajada  en  Qatar,ESTADO  DE  QATAR,@embargenqatar  //  @embargenqatar  //  ,QAT,ASIA
ERICA,Embajada  en  Costa  Rica,REPÚBLICA  DE  COSTA  RICA,https://www.facebook.com/argentinaencostarica/  //  ,CRI,AMÉRICA  CENTRAL  Y  CARIBE
ERUMA,Embajada  en  Rumania,RUMANIA,https://www.facebook.com/ArgentinaEnRumania  //  https://www.instagram.com/argentinaenrumania  //  ,ROU,EUROPA  CENTRAL  Y  ORIENTAL
ERUNI,Embajada  en  Reino  Unido,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,https://twitter.com/ARGinUK  //  https://www.facebook.com/ARGinUK/  //  https://www.flickr.com/photos/138300767@N07/albums  //  https://www.instagram.com/arginuk/  //  https://www.youtube.com/channel/UCzaGU10f-77SR56kini9-1g/videos?view_as=subscriber  //  ,GRB,EUROPA  OCCIDENTAL
ESAFR,Embajada  en  Sudáfrica,REPÚBLICA  DE  SUDÁFRICA,facebook.com/ArgenSudafrica  //  https://twitter.com/EmbArgentina  //  https://www.instagram.com/argentinaensudafrica  //  ,ZAF,ÁFRICA  SUBSAHARIANA
ESALV,Embajada  en  El  Salvador,REPÚBLICA  DE  EL  SALVADOR,https://twitter.com/ARGenElSalvador  //  https://www.facebook.com/ArgentinaEnElSalvador/  //  https://www.instagram.com/embargenelsalvador/  //  ,SLV,AMÉRICA  CENTRAL  Y  CARIBE
ESENE,Embajada  en  Senegal,REPÚBLICA  DE  SENEGAL,@ARGenSenegal  //  ,SEN,ÁFRICA  SUBSAHARIANA
ESERB,Embajada  en  Serbia,REPÚBLICA  DE  SERBIA,Facebook.com/ArgentinaEnSerbia  //  Instagram.com/ARGinSerbia  //  ,SRB,EUROPA  CENTRAL  Y  ORIENTAL
ESING,Embajada  en  Singapur,REPÚBLICA  DE  SINGAPUR,https://twitter.com/ARGinSingapore  //  https://instagram.com/argentine_embassy_singapore?igshid=YmMyMTA2M2Y=  //  ,SGP,ASIA
ESSED,Representación  ante  la  Santa  Sede,SANTA  SEDE,https://twitter.com/ArgSantaSede  //  https://www.youtube.com/c/EmbajadaArgentinaantelaSantaSede  //  https://www.facebook.com/ArgEnSantaSede  //  https://www.instagram.com/argensantasede/  //  ,VAT,EUROPA  OCCIDENTAL
ESUEC,Embajada  en  Suecia,REINO  DE  SUECIA,https://se.linkedin.com/showcase/arginsweden  //  https://www.facebook.com/arginsweden/  //  https://www.instagram.com/arginsweden/  //  ,SWE,EUROPA  OCCIDENTAL
ESUIZ,Embajada  en  Suiza,Confederación  Suiza,,CHE,EUROPA  OCCIDENTAL
ESURI,Embajada  en  Surinam,REPÚBLICA  DE  SURINAME,,SUR,AMÉRICA  DEL  SUR
ETAIL,Embajada  en  Tailandia,REINO  DE  TAILANDIA,https://www.facebook.com/ArgEnTailandiaBangkok/?tn-str=k*F  //  ,THA,ASIA
ETRIA,Embajada  en  Austria,REPÚBLICA  DE  AUSTRIA,https://www.facebook.com/ArgentinaEnAustria/  //  https://twitter.com/ARGenViena  //  https://www.instagram.com/argenviena/  //  ,AUT,EUROPA  OCCIDENTAL
ETRIN,Embajada  en  Trinidad  y  Tobago,REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,www.facebook.com/ArgentinaEnTrinidadYTobago  //  arg_trinidad_tobago  //  ,TTO,AMÉRICA  CENTRAL  Y  CARIBE
ETUNE,Embajada  en  Túnez,REPÚBLICA  TUNECINA,https://www.facebook.com/ArgEnTunez/  //  https://www.twitter.com/EmbajadaTunez  //  https://www.instagram.com/embargentinatn  //  https://www.youtube.com/channel/UC8kSZug1SPHrp3r1hGzhjtg  //  ,TUN,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
ETURQ,Embajada  en  Türkiye,República  de  Türkiye,@Argentinaenturquia/  //  @embargenturquia  //  @ARGenTurquia  //  ,TUR,EUROPA  OCCIDENTAL
EUCRA,Embajada  en  Ucrania,UCRANIA,https://www.facebook.com/ArgentinaEnUcrania  //  https://www.instagram.com/argenucrania/  //  ,UKR,EUROPA  CENTRAL  Y  ORIENTAL
EUNES,"Delegación  Permanente  ante  la  Organización  de  las  Naciones  Unidas  para  la  Educación, la  Ciencia  y  la  Cultura",REPÚBLICA  FRANCESA,https://twitter.com/ArgentinaUNESCO  //  https://www.facebook.com/delegation.argentine/  //  ,FRA,EUROPA  OCCIDENTAL
EUNGR,Embajada  en  Hungría,HUNGRÍA,https://www.facebook.com/ArgentinaEnHungria  //  ,HUN,EUROPA  CENTRAL  Y  ORIENTAL
EURUG,Embajada  en  Uruguay,REPÚBLICA  ORIENTAL  DEL  URUGUAY,https://twitter.com/ArgentinaEnUru  //  https://www.facebook.com/ArgentinaEnUru/  //  https://www.instagram.com/argentinaenuru/  //  ,URY,AMÉRICA  DEL  SUR
EVENE,Embajada  en  Venezuela,REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,https://twitter.com/argenvenezuela?lang=es  //  https://www.facebook.com/EmbajadaArgentinaEnVenezuela  //  https://www.instagram.com/argenvenezuela/  //  ,VEN,AMÉRICA  DEL  SUR
EVIET,Embajada  en  Vietnam,REPÚBLICA  SOCIALISTA  DE  VIETNAM,https://www.facebook.com/ArgentinaEnVietnam/  //  https://www.instagram.com/argenvietnam/  //  ,VNM,ASIA
OCCAT,Oficina  Comercial  y  Cultural  Argentina  en  Taiwán,REPÚBLICA  POPULAR  DE  CHINA,,CHN,ASIA
REPAL,Oficina  de  Representación  en  el  Estado  de  Palestina,ESTADO  DE  PALESTINA,https://www.facebook.com/ArgEnPalestina  //  ,PSE,ASIA
